area,start_date,end_date,value
Paradise Valley,1987-06-01,1987-06-30,-100.15478890761733
Bitterroot,1987-07-01,1987-07-31,-73.19043390080333
Gallatin,1987-07-01,1987-07-31,-46.45987589657307
Paradise Valley,1987-07-01,1987-07-31,-44.710388004779816
Bitterroot,1987-08-01,1987-08-31,-103.61597641184926
Gallatin,1987-08-01,1987-08-31,-80.12581982463598
Paradise Valley,1987-08-01,1987-08-31,-84.63910294463858
Bitterroot,1987-09-01,1987-09-30,-99.86729729175568
Gallatin,1987-09-01,1987-09-30,-91.01652234047651
Paradise Valley,1987-09-01,1987-09-30,-91.01652234047651
Bitterroot,1987-10-01,1987-10-31,-73.83174406737089
Gallatin,1987-10-01,1987-10-31,-74.21023947000504
Paradise Valley,1987-10-01,1987-10-31,-66.24252757430077
Bitterroot,1987-11-01,1987-11-30,34.50003197416663
Gallatin,1987-11-01,1987-11-30,-15.586040668655187
Paradise Valley,1987-11-01,1987-11-30,11.55540007725358
Bitterroot,1987-12-01,1987-12-31,93.69246515631676
Gallatin,1987-12-01,1987-12-31,-5.949431796558201
Paradise Valley,1987-12-01,1987-12-31,44.6956494692713
Bitterroot,1988-01-01,1988-01-31,90.86181942373514
Gallatin,1988-01-01,1988-01-31,-13.432904860470444
Paradise Valley,1988-01-01,1988-01-31,27.564168363809586
Bitterroot,1988-02-01,1988-02-29,77.57394143939018
Gallatin,1988-02-01,1988-02-29,-31.548132905736566
Paradise Valley,1988-02-01,1988-02-29,22.126806722953916
Bitterroot,1988-03-01,1988-03-31,59.01780281215906
Gallatin,1988-03-01,1988-03-31,-18.94587693735957
Paradise Valley,1988-03-01,1988-03-31,3.486851178109646
Bitterroot,1988-04-01,1988-04-30,20.75446394085884
Gallatin,1988-04-01,1988-04-30,-46.559334706515074
Paradise Valley,1988-04-01,1988-04-30,9.913384675979614
Bitterroot,1988-05-01,1988-05-31,-16.325883427634835
Gallatin,1988-05-01,1988-05-31,-46.42738392204046
Paradise Valley,1988-05-01,1988-05-31,-46.42738392204046
Bitterroot,1988-06-01,1988-06-30,-84.62494236044586
Gallatin,1988-06-01,1988-06-30,-145.44581583607942
Paradise Valley,1988-06-01,1988-06-30,-147.5373462252319
Bitterroot,1988-07-01,1988-07-31,-155.03345519304276
Gallatin,1988-07-01,1988-07-31,-184.70375941228122
Paradise Valley,1988-07-01,1988-07-31,-177.77213686704636
Bitterroot,1988-08-01,1988-08-31,-143.49006210267544
Gallatin,1988-08-01,1988-08-31,-157.48696692287922
Paradise Valley,1988-08-01,1988-08-31,-154.24997197836637
Bitterroot,1988-09-01,1988-09-30,-59.94484800286591
Gallatin,1988-09-01,1988-09-30,-66.3067975640297
Paradise Valley,1988-09-01,1988-09-30,-77.40231434814632
Bitterroot,1988-10-01,1988-10-31,-18.101649187505245
Gallatin,1988-10-01,1988-10-31,-59.765675745904446
Paradise Valley,1988-10-01,1988-10-31,-59.765675745904446
Bitterroot,1988-11-01,1988-11-30,153.85258676856756
Gallatin,1988-11-01,1988-11-30,-1.302669983357191
Paradise Valley,1988-11-01,1988-11-30,83.52330762147903
Bitterroot,1988-12-01,1988-12-31,56.742759567685425
Gallatin,1988-12-01,1988-12-31,-6.782632386311889
Paradise Valley,1988-12-01,1988-12-31,0.12963326275348663
Bitterroot,1989-01-01,1989-01-31,124.00672022253275
Gallatin,1989-01-01,1989-01-31,2.7076062336564064
Paradise Valley,1989-01-01,1989-01-31,20.752826247364283
Bitterroot,1989-02-01,1989-02-28,26.954248521476984
Gallatin,1989-02-01,1989-02-28,-6.659179255366325
Paradise Valley,1989-02-01,1989-02-28,26.298782500438392
Bitterroot,1989-03-01,1989-03-31,82.97058016993105
Gallatin,1989-03-01,1989-03-31,-9.250716295093298
Paradise Valley,1989-03-01,1989-03-31,61.55365635454655
Bitterroot,1989-04-01,1989-04-30,-11.823717776685953
Gallatin,1989-04-01,1989-04-30,-39.52580872178078
Paradise Valley,1989-04-01,1989-04-30,-21.447694409638643
Bitterroot,1989-05-01,1989-05-31,5.158009395003319
Gallatin,1989-05-01,1989-05-31,-37.84506506100297
Paradise Valley,1989-05-01,1989-05-31,-37.79972012434155
Bitterroot,1989-06-01,1989-06-30,-71.87389361858368
Gallatin,1989-06-01,1989-06-30,-98.24016290158033
Paradise Valley,1989-06-01,1989-06-30,-83.30441845953465
Bitterroot,1989-07-01,1989-07-31,-137.65264858305454
Gallatin,1989-07-01,1989-07-31,-154.03606349229813
Paradise Valley,1989-07-01,1989-07-31,-145.941612534225
Bitterroot,1989-08-01,1989-08-31,-29.84767686575651
Gallatin,1989-08-01,1989-08-31,-93.22844767011702
Paradise Valley,1989-08-01,1989-08-31,-81.66674318164587
Bitterroot,1989-09-01,1989-09-30,-71.15287482738495
Gallatin,1989-09-01,1989-09-30,-86.21739692986012
Paradise Valley,1989-09-01,1989-09-30,-70.94325363636017
Bitterroot,1989-10-01,1989-10-31,-7.986568376421928
Gallatin,1989-10-01,1989-10-31,0.9376985616981983
Paradise Valley,1989-10-01,1989-10-31,10.330550478771329
Bitterroot,1989-11-01,1989-11-30,105.08029580069706
Gallatin,1989-11-01,1989-11-30,-32.61278336402029
Paradise Valley,1989-11-01,1989-11-30,38.13503983616829
Bitterroot,1989-12-01,1989-12-31,54.25872348994017
Gallatin,1989-12-01,1989-12-31,-3.209699465893209
Paradise Valley,1989-12-01,1989-12-31,44.05181687511504
Bitterroot,1990-01-01,1990-01-31,134.0060602426529
Gallatin,1990-01-01,1990-01-31,-8.64430452696979
Paradise Valley,1990-01-01,1990-01-31,39.48240103200078
Bitterroot,1990-02-01,1990-02-28,75.86666095256805
Gallatin,1990-02-01,1990-02-28,-29.994630597531796
Paradise Valley,1990-02-01,1990-02-28,8.894570223987103
Bitterroot,1990-03-01,1990-03-31,3.999977558851242
Gallatin,1990-03-01,1990-03-31,-12.186266995966434
Paradise Valley,1990-03-01,1990-03-31,-12.186266995966434
