area,start_date,end_date,value
Bitterroot,1987-12-01,1987-12-31,106.26749768853188
Gallatin,1987-12-01,1987-12-31,19.017250041477382
Paradise Valley,1987-12-01,1987-12-31,63.40143080987036
Bitterroot,1988-01-01,1988-01-31,106.45406994968653
Gallatin,1988-01-01,1988-01-31,11.705081352498382
Paradise Valley,1988-01-01,1988-01-31,52.12628719210625
Bitterroot,1988-02-01,1988-02-29,108.25730237364769
Gallatin,1988-02-01,1988-02-29,9.95790140889585
Paradise Valley,1988-02-01,1988-02-29,58.23571567423642
Bitterroot,1988-03-01,1988-03-31,105.65552596002817
Gallatin,1988-03-01,1988-03-31,40.27799882367253
Paradise Valley,1988-03-01,1988-03-31,53.402194283902645
Bitterroot,1988-04-01,1988-04-30,105.0414027273655
Gallatin,1988-04-01,1988-04-30,51.19596319273114
Paradise Valley,1988-04-01,1988-04-30,92.29333484172821
Bitterroot,1988-05-01,1988-05-31,91.77533916197717
Gallatin,1988-05-01,1988-05-31,88.53051517158747
Paradise Valley,1988-05-01,1988-05-31,83.00904275476933
Bitterroot,1988-06-01,1988-06-30,56.29480809159577
Gallatin,1988-06-01,1988-06-30,30.696917737834156
Paradise Valley,1988-06-01,1988-06-30,30.696917737834156
Bitterroot,1988-07-01,1988-07-31,9.915045037865639
Gallatin,1988-07-01,1988-07-31,8.877600451000035
Paradise Valley,1988-07-01,1988-07-31,11.910855876281857
Bitterroot,1988-08-01,1988-08-31,9.455508053302765
Gallatin,1988-08-01,1988-08-31,9.576098129153252
Paradise Valley,1988-08-01,1988-08-31,8.945390842854977
Bitterroot,1988-09-01,1988-09-30,30.58453145623207
Gallatin,1988-09-01,1988-09-30,39.01836621761322
Paradise Valley,1988-09-01,1988-09-30,26.53844447620213
Bitterroot,1988-10-01,1988-10-31,44.09018371254206
Gallatin,1988-10-01,1988-10-31,12.98031298071146
Paradise Valley,1988-10-01,1988-10-31,12.98031298071146
Bitterroot,1988-11-01,1988-11-30,166.37322986871004
Gallatin,1988-11-01,1988-11-30,29.247000563889742
Paradise Valley,1988-11-01,1988-11-30,107.83798936009407
Bitterroot,1988-12-01,1988-12-31,68.55457955319434
Gallatin,1988-12-01,1988-12-31,14.730379248037934
Paradise Valley,1988-12-01,1988-12-31,23.822662867605686
Bitterroot,1989-01-01,1989-01-31,139.93524277955294
